title,link,published,summary
Millions face hosepipe bans as UK heatwave reaches 34.7C,https://www.bbc.com/news/articles/crmv8x74ky9o,"Fri, 11 Jul 2025 19:30:54 GMT",Heat health alerts have also been upgraded to 'amber' in parts of England.
Watch: Russians tell BBC how they think Ukraine war will end,https://www.bbc.com/news/videos/c1wp55wqq0lo,"Fri, 11 Jul 2025 16:24:19 GMT",Russian victory is a key message at the 'Patriotic Festival' a few miles outside Moscow.
Rayner in deepening row with Unite union over Birmingham bin strikes,https://www.bbc.com/news/articles/cx24de0d9rdo,"Fri, 11 Jul 2025 17:38:43 GMT",Unite announced earlier it had suspended her membership over the long-running dispute in Birmingham.
"Gaza's largest functioning hospital facing disaster, medics warn, as Israel widens offensive",https://www.bbc.com/news/articles/cdx5zeywgrgo,"Fri, 11 Jul 2025 15:41:42 GMT",Nasser hospital in Khan Younis has a critical shortage of fuel and had to stop admitting patients after Israeli tanks advanced nearby on Thursday.
Liverpool to retire number 20 in honour of Jota,https://www.bbc.com/sport/football/articles/cpqnwpxle79o,"Fri, 11 Jul 2025 19:36:32 GMT","Liverpool are to retire the number 20 shirt in honour of Diogo Jota, who died in a car crash along with his brother Andre Silva."
"Ukraine to receive US air defence systems, says Trump",https://www.bbc.com/news/articles/crl04200dp4o,"Fri, 11 Jul 2025 12:43:19 GMT","The US president says he will sell weapons to Nato, which would then give them to Ukraine."
Ruthless Sinner beats Djokovic at Wimbledon to set up Alcaraz final,https://www.bbc.com/sport/tennis/articles/ckg52kr13ggo,"Fri, 11 Jul 2025 19:43:12 GMT",Jannik Sinner will face defending champion Carlos Alcaraz in the Wimbledon final after a ruthless victory over Novak Djokovic.
GPs to refer patients for gym classes and career coaching to reduce sick notes,https://www.bbc.com/news/articles/cwyx880d1w8o,"Fri, 11 Jul 2025 17:09:17 GMT",The aim is to help people return to work quicker and reduce the length of time they need fit notes - better known as sick notes.
Former Met Police commissioner Ian Blair dies,https://www.bbc.com/news/articles/cj61d0rd9gjo,"Fri, 11 Jul 2025 19:52:37 GMT","Ian Blair, later Lord Blair, served as the Metropolitan Police commissioner from 2005 to 2008."
MP Rupert Lowe cleared by standards watchdog after brief investigation,https://www.bbc.com/news/articles/ceq7z421pwzo,"Fri, 11 Jul 2025 17:01:01 GMT",The standards commissioner says he is satisfied the former Reform MP did not break rules on declaring donations.
Outrage builds over plan to force all Gazans to southern city,https://www.bbc.com/news/articles/c9dgv7v1d06o,"Fri, 11 Jul 2025 11:55:51 GMT",Critics denounce a plan by Israel's defence minister to relocate all Palestinians in Gaza to a small area in the south.
'All my savings are going': Pub landlords fear closure as costs rise,https://www.bbc.com/news/articles/cvg8llxmnx7o,"Fri, 11 Jul 2025 16:00:25 GMT","Publicans have contacted Your Voice, Your BBC News to sound alarm about the future of the industry."
Trainspotting author Irvine Welsh says we've become 'dumbed-down machines',https://www.bbc.com/news/articles/cgq7vzjwyvxo,"Thu, 10 Jul 2025 23:31:43 GMT","Author Irvine Welsh has written a sequel called Men in Love, because the world is ""so full of hate""."
